code|name
AUS|Australia
AUT|Austria
BEL|Belgium
CAN|Canada
CHL|Chile
CYP|Cyprus
CZE|Czech Republic
DNK|Denmark
EST|Estonia
FIN|Finland
FRA|France
DEU|Germany
GRC|Greece
HUN|Hungary
ISL|Iceland
IRL|Ireland
ISR|Israel
ITA|Italy
JPN|Japan
KOR|Korea
LUX|Luxembourg
MEX|Mexico
NLD|Netherlands
NZL|New Zealand
NOR|Norway
POL|Poland
PRT|Portugal
SVK|Slovak Republic
SVN|Slovenia
ESP|Spain
SWE|Sweden
CHE|Switzerland
TUR|Turkey
GBR|United Kingdom
USA|United States
ARG|Argentina
BRA|Brazil
BRN|Brunei Darussalam
BGR|Bulgaria
KHM|Cambodia
CHN|China
TWN|Chinese Taipei
HKG|Hong Kong, China
IND|India
IDN|Indonesia
LVA|Latvia
LTU|Lithuania
MYS|Malaysia
MLT|Malta
PHL|Philippines
ROU|Romania
RUS|Russian Federation
SAU|Saudi Arabia
SGP|Singapore
ZAF|South Africa
THA|Thailand
VNM|Viet Nam
ROW|Rest of the World
EU27|European Union 27 countries
EU15|European Union 15 countries
NAFTA|North Free Trade Agreement countries
E_ASIA|Eastern Asia
ASEAN8|Association of South East Asian Nations
Z_EUR|Europe
Z_ASIA|Est and South East Asia
Z_SAM|South America
Z_OTH|Other regions
